"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\VisualStudioCodeProjects\SDL1\ammo.h", "C++", 75, 0, 12, 17, 104
"d:\VisualStudioCodeProjects\SDL1\button.h", "C++", 73, 0, 3, 13, 89
"d:\VisualStudioCodeProjects\SDL1\camera.h", "C++", 35, 0, 4, 8, 47
"d:\VisualStudioCodeProjects\SDL1\enemy.h", "C++", 83, 0, 11, 15, 109
"d:\VisualStudioCodeProjects\SDL1\log.md", "Markdown", 0, 37, 0, 11, 48
"d:\VisualStudioCodeProjects\SDL1\main.cpp", "C++", 108, 0, 34, 28, 170
"d:\VisualStudioCodeProjects\SDL1\stdc++.h", "C++", 102, 0, 30, 23, 155
"d:\VisualStudioCodeProjects\SDL1\test.cpp", "C++", 55, 0, 4, 10, 69
"Total", "-", 531, 37, 98, 125, 791
